Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
10,01	203	136	266	226	174	102	276	105
10,03	203	136	266	226	174	102	276	105
10,04	203	136	266	226	174	102	276	105
10,06	203	136	266	226	174	102	276	105
10,07	203	136	266	227	174	102	276	105
10,09	203	136	266	227	174	102	276	105
10,10	203	136	266	227	174	102	276	105
10,12	203	137	266	227	174	102	276	105
10,13	203	137	266	227	174	102	276	105
10,15	203	137	266	227	175	102	276	105
10,16	203	137	266	227	175	102	276	105
10,18	203	137	266	227	175	102	277	105
10,19	203	137	266	229	175	102	277	105
10,21	203	137	266	229	175	102	277	105
10,22	203	137	266	229	175	102	277	105
10,24	203	137	266	229	175	102	277	105
10,25	205	137	266	229	175	102	277	105
10,26	205	137	266	229	175	102	277	105
10,28	205	137	266	229	175	102	279	105
10,29	205	137	266	229	175	102	279	105
10,31	205	137	266	229	175	102	279	105
10,32	205	137	266	230	175	102	279	105
10,34	205	137	266	230	175	102	279	105
10,35	205	137	266	230	175	102	279	105
10,37	205	137	266	230	175	102	279	105
10,38	207	137	266	230	175	102	280	105
10,40	207	137	266	230	175	102	280	105
10,41	207	137	266	230	175	102	280	105
10,43	207	137	266	230	175	102	280	105
10,44	207	137	267	231	175	102	280	105
10,46	207	137	267	231	175	102	280	105
10,47	207	137	267	231	175	102	280	105
10,49	207	137	267	231	175	102	280	105
10,50	207	137	267	231	175	102	280	105
10,51	207	137	267	231	175	102	280	105
10,53	207	137	267	231	175	102	280	105
10,54	207	137	267	231	175	102	280	105
10,56	207	137	267	233	175	102	280	105
10,57	207	137	267	233	175	102	280	105
10,59	207	137	267	233	175	102	280	105
10,60	207	137	267	233	175	102	280	105
10,62	207	137	267	233	175	102	280	105
